v1;v2;;;
spam; "take nitro faster, its gonna begone now https://discordn.gift/xGCs7cGt2sdFOf81";;;
spam; please join my awesome discord server which is better than this one https://discord.gg/4WsWXRKu;;;
spam; "if you join the discrord server https://discord.gg/da8KgGwb, you can get free money !!! :)";;;
spam; "hello, anyone interested in starting a new business opportunity you can contact me on discord server https://discord.gg/4WsabKBu";;;
spam; "I have free nitro for you guys  just click the link of https://discordn.gift/AcKs7cBt2sdFOf82 faster faster now";;;
spam; "if anyone is wandering we have free nitro just for you https://discordn.gift/BcKs9CXa0bdb9f92 this is really special";;;
spam; "I think this discord server is bad, please join my new one https://discord.gg/da9KgGWb its the best one We have";;;
spam; "Free bitcoin if click this link https://discordn.gift/BDKBoKXaUbDb9f92";;;
spam; "You in need of money? no job? JUst click  https://discordn.gift/BDKKPKXaUbDU9HL2 where you can get free giftcard";;;
spam; "Clicking the link https://discordn.gift/BUIKKKAaUjDU9HL2 will give you free discord nitro";;;
spam; "Get some change to win a car by joining https://discord.gg/Bt0KgGwb join now";;;
spam; "Hey, I have some spare nitro for discord click faster now https://discordn.gift/BOAPoKPllPDb9f92";;;
spam; "FREE NITRO FREE NITRO NOW https://discordn.gift/BOAPoKPllPDb9f92 NOW NOW ";;;
spam; "CLICK HERE NOW https://discordn.gift/BOAPoKPllPDb9f92 FREE NITRO JUST FOR YOU  ";;;
spam; "CLICK HERE https://discordn.gift/BOAPoKPllPDb9f92 I have free nitro";;;
spam; "CLICK https://discordn.gift/yZdlTgVIKqCOarRl to become a BIG BIG SHOT";;;
spam; "Join https://discord.gg/sYwaKTiR and you can become a big big shot";;;
spam; "If you join https://discord.gg/sYwaKTiR I swear your family will be rich :)";;;
spam; "joining https://discord.gg/AxLXDGJl will give you free social credit";;;
spam; "come here https://discord.gg/XrELLBjR where you have chance to win the lottery ";;;
spam; "I have some special prize for you https://discordn.gift/xkQQqDuAIIeQSyEG CLICK IT NOW";;;
spam; "Congrats, you are the winner, just click here to redeem it https://discordn.gift/evKeBfiJDJUqXFsi";;;
spam; "free giftcard at https://discordn.gift/fXemgOPKEkuOZPSl";;;
spam; "QUICKLY TAKE THIS giftcard https://discordn.gift/kUaWHvJXrlGPSfJw before it expires";;;
spam; "I have free gift https://discordn.gift/ZxYWWReJUyFhZoFU  JUST FOR YOU BABE";;;
spam; "Yo I have 2 discord nitro and I don't need the other one https://discordn.gift/JPqEgvRzBdowEWxG";;;
spam; "Hey I still got some spare discord nitro, you can have it if for FREE if you DM me";;;
spam; "Get 3 months of Discord NITRO FOR FREE, : https://premiumdiscord.com";;;
spam; "Discord NITRO FOR FREE FOR LIFETIME, : https://premiumdiscord123.com, only valid until 12/30/2021";;;
spam; "Congratulation, You just WON FREE DISCORD NITRO, click https://discordn.gift/ukUcOWQBOSMTZUcp to redeem";;;
spam; "Sir/Madam We want to give you free (NO CHARGE) gift  https://discordn.gift/PBkpLPwaKpeajrIn";;;
spam; "Hey, I still got sparenitro code from this epic GAME promotion, you can have it https://discordn.gift/wemmEHZEQZEWalwM";;;
spam; "Congratulation, You have been selected among users of discord server for free cash, just join this server https://discord.gg/mCdmSliq to redeem it";;;
spam; "You have been chosen as the winner of Weekly Discord Nitro Congrats, just click https://discordn.gift/JHRgmZugQeJlaFYb";;;
spam; "See here free nitro for 1 month, just click this link https://discordn.gift/ArlmRCuwwulRXueP and enjoy ";;;
spam; "YoYoYo, I accidently got 3 nitros, I dont need them all you can have it https://discordgifts.com/gift/RyZJsWhKPuxMBFOu";;;
spam; "You have been gifted a free discord nitro https://discord.gg/VbsUmOzb ";;;
spam; "Our server gives away FREE FREE DISCORD NITRO Weekly, please join https://discord.gg/AUFiWgHm";;;
spam; "https://discord.gg/NqUjntyr this server has been teaching me about Marketing strategy which give me PASSION INCOME FOR FREE AND EASY";;;
spam; "Free account upgrade, unlock new emoji and other good stuff https://discord.gg/ZAlguZdH";;;
spam; "CONGRATULATIONS :D, you have been selected among users of this server for free stuff like discord nitro, you can click https://discordn.gift/dCAslSTuCcpIHSBV to redeem it";;;
spam; "if you are reading this message, you are one of the winner of our BITCOIN Program, redeem it by clicking https://discordn.gift/UxOHNiyfnvYuTcaW";;;
spam; "Greeting Gabriel, You have been randomly selected as the winner of our giveaway program, just join our server for more info https://discord.gg/zefqvHGG";;;
spam; "Good news to you Nicholas123, We are pleased to announce our winner, you are one of the lucky ones, check your reward here https:/bit.ly/3Bnwq2";;;
spam; "In honor of the our new game release, Our team decided to donate you some currency points, get it here https://pathofelixile.store";;;
spam; "Our discord server just opened, we have special prizes for top 100 users  https://discord.gg/oMlToNaw";;;
spam; "Today is your lucky day fellow discord user, you can win FREE nitro if you join our server https://discord.gg/nUXAiRwp";;;
spam; "The crypto givewaway from 0.1 to 5.0 Etheremum and you are the winner, join https://discord.gg/kdpGWjQu for more detail :D";;;
spam; "You have been gifted a FREE NITRO for your account click https://discordn.gift/WmdySIgVdXQBfoGj to redeem";;;
spam; "I HAVE GOOD NEWS FOR YOU SIR, you have won 0.1 BTC as part of our discord server giveaway, click https://freebitcoin.com to redeem ";;;
ham; "discord just told me to look be hind you while i loaded in.";;;
ham; "I believe so\nlmao that was quick\nPatriots First round playoff game starts in 15 minutes\nLETS GO BOIS";;;
ham; "Lmao what\nWhy do you eat a banana before class";;;
ham; "Hey Tresson";;;
ham; "What, is it breakfast time?";;;
ham; "cool";;;
ham; "That's not a question";;;
ham; "Youtube ended their partnership but that sweet sweet ad revenue";;;
ham; "RIP chat";;;
ham; "There's a person at my school whom I only know through a school discord for our major.\nAnd she knows who I am in person but Idk who she is";;;
ham; "I dont have my com atm\nBut there should be a setting button\nYou can change it to black which imo looks a lot better and its OLED too";;;
ham; "sits on syzzle";;;
ham; "Work is quite dangerous for me right now";;;
ham; "stevie g killed the chat";;;
ham; "Have yall turn your facets on in this cold weather?";;;
ham; "ITS SPHERICAL";;;
ham; "Fuck yeah I got VC";;;
ham; "just to spite her\nyes!";;;
ham; "Do you fall into the sun";;;
ham; "hey Simon want to maybe tone down the hate";;;
ham; "Brothelle you might want to bitch slap simon";;;
ham; "The Socceroos are the second greatest team in Australasia";;;
